folderId,seq,favoriteType,color,memo,display1,display2,x,y,lon,lat,key,createdAt,updatedAt
4049789,554590006,PLACE,2,,퍼스트페이지,서울 송파구 토성로 38-6 한강극동아파트 상가동 111호 (풍납동),525203,1119450,127.1140539,37.5294607,23961587,2023-07-07 17:39:28,2023-07-07 17:39:28
4049789,554589879,PLACE,2,,나아지구,서울 중구 마른내로 120 서제빌딩 101호 (오장동),500282,1129133,127.001279,37.56441416,659962748,2023-07-07 17:39:11,2023-07-07 17:39:11
4049789,554589696,PLACE,2,샵앤샵,적량다온,경남 하동군 적량면 대티길 44-22 문화복지센터 1층 (적량면 관리),677223,441137,127.7773133,35.08187779,1116458043,2023-07-07 17:38:47,2023-07-07 17:38:47
4049789,554554847,ADDRESS,2,열두광주리 제로웨이스트 가게,경북 안동시 밤적골길 20,율세동 420-2 외 3건,888081,856261,128.7341252,36.56829283,N35250268,2023-07-07 16:24:43,2023-07-07 16:24:43
4049789,553999863,PLACE,2,,홍시생활,경북 청도군 화양읍 도주관로 152 (화양읍 서상리),886230,601013,128.7058459,35.64868925,1541044276,2023-07-06 15:45:12,2023-07-06 15:45:12
4049789,553999351,PLACE,2,,에코올리베또,부산 서구 구덕로280번길 43-1 1층 (동대신동1가),960562,452900,129.0206234,35.10993445,785561071,2023-07-06 15:43:59,2023-07-06 15:43:59
4049789,545319571,PLACE,6,플로깅 장소 캠페인,보해소주 플로깅 센터,전남 목포시 해안로 217-1 (항동),359490,358503,126.3859313,34.78487912,817042370,2023-06-19 10:57:30,2023-06-19 10:57:30
4049789,541940295,PLACE,2,,노노샵,서울 용산구 보광로 90 태광빌딩 2층 202호 (이태원동),499076,1119883,126.9958196,37.53107894,1821435324,2023-06-12 14:11:00,2023-06-12 14:11:00
4049789,537273299,PLACE,6,쓰레기 줄이려 노력하는 숙소,대동호텔,제주 제주시 관덕로15길 6 (일도일동),390134,5836,126.5269913,33.51379235,8303171,2023-06-02 21:53:00,2023-06-02 21:53:00
4049789,532408820,PLACE,2,,마을가게 모두의숲,전북 순창군 동계면 동계로 43 (동계면 현포리),554971,539834,127.2421712,35.43996795,2006787267,2023-05-23 21:00:55,2023-05-23 21:00:55
4049789,516155318,PLACE,2,서점&제로웨이스트 샵,기빙트리,경남 양산시 물금읍 화산길 28-1 1층 (물금읍 물금리),951096,508250,128.9839621,35.31006006,1826618875,2023-04-19 20:47:26,2023-04-19 20:47:26
4049789,507541576,PLACE,6,제로웨이스트 카페 샵앤샵,카페서로,서울 마포구 만리재로 96 (공덕동),491130,1124798,126.9598519,37.54878404,276316257,2023-04-07 21:53:49,2023-04-07 21:53:49
4049789,504781020,PLACE,2,식품 제로웨이스트 숍,리스토어,서울 종로구 옥인길 17 (누하동),492827,1133615,126.9675197,37.58056184,1884775188,2023-04-02 9:16:18,2023-04-02 9:16:18
4049789,499636778,PLACE,2,,블로엔,대구 동구 도평로 56-2 (지저동),871695,672719,128.6469982,35.90798041,799773319,2023-03-22 15:19:06,2023-03-22 15:19:06
4049789,495401807,ADDRESS,2,"B1,06호 해달별 제로유ㅔ이스트숍",서울 강남구 자곡로 191,자곡동 600 외 1건,522904,1104300,127.1035756,37.47487015,N30198819,2023-03-13 23:44:14,2023-03-13 23:44:14
4049789,494360480,PLACE,2,제로웨이스트 숍,바오로가게,광주 서구 상무대로 980 (쌍촌동),470041,459427,126.8684903,35.15024253,665503283,2023-03-11 13:14:00,2023-03-11 13:14:00
